"Ticker","Name","Volume","Prev_Close","Open","Close","Change_pct","Trade_Date"
"ABJC","SERVAIR ABIDJAN  COTE D'IVOIRE",5041,3775,3920,3780,3.42,2026-04-27
"BICB","BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN",2632,5200,5200,5205,0.1,2026-04-27
"BICC","BICI COTE D'IVOIRE",336,24450,23765,24400,2.69,2026-04-27
"BNBC","BERNABE COTE D'IVOIRE",349,1600,1600,1590,-0.62,2026-04-27
"BOAB","BANK OF AFRICA BENIN",10665,8430,8210,8500,3.53,2026-04-27
"BOABF","BANK OF AFRICA BURKINA FASO",20173,5400,5400,5450,0.93,2026-04-27
"BOAC","BANK OF AFRICA COTE D'IVOIRE",7906,8800,8615,8750,1.74,2026-04-27
"BOAM","BANK OF AFRICA MALI",10322,4670,4670,4670,0,2026-04-27
"BOAN","BANK OF AFRICA NIGER",3271,3435,3600,3415,-5.53,2026-04-27
"BOAS","BANK OF AFRICA SENEGAL",4311,6900,6900,6950,0.72,2026-04-27
"CABC","SICABLE COTE D'IVOIRE",866,3700,3650,3700,2.78,2026-04-27
"CBIBF","CORIS BANK INTERNATIONAL BURKINA FASO",220,16300,16490,16200,-1.76,2026-04-27
"CFAC","CFAO MOTORS COTE D'IVOIRE",2218,1590,1600,1590,-0.31,2026-04-27
"CIEC","CIE COTE D'IVOIRE",2792,3000,3200,3000,0,2026-04-27
"ECOC","ECOBANK COTE D'IVOIRE",738,16300,16200,16020,-1.72,2026-04-27
"ETIT","Ecobank Transnational Incorporated TOGO",356903,29,29,29,0,2026-04-27
"FTSC","FILTISAC COTE D'IVOIRE",2020,2250,2105,2250,6.89,2026-04-27
"LNBB","LOTERIE NATIONALE DU BENIN",2723,3850,3930,3900,-0.76,2026-04-27
"NEIC","NEI-CEDA COTE D'IVOIRE",34954,1695,1695,1695,7.28,2026-04-27
"NSBC","NSIA BANQUE COTE D'IVOIRE",6123,13800,12860,13890,-0.07,2026-04-27
"NTLC","NESTLE COTE D'IVOIRE",173,12375,12370,12375,0,2026-04-27
"ONTBF","ONATEL BURKINA FASO",1056,2610,2710,2610,-3.69,2026-04-27
"ORAC","ORANGE COTE D'IVOIRE",1458,14900,15000,14650,-1.68,2026-04-27
"ORGT","ORAGROUP TOGO",3620,3295,3295,3340,1.37,2026-04-27
"PALC","PALM COTE D'IVOIRE",1736,7900,7900,7900,2.6,2026-04-27
"PRSC","TRACTAFRIC MOTORS COTE D'IVOIRE",215,4800,4500,4800,0,2026-04-27
"SAFC","SAFCA COTE D'IVOIRE",4496,4175,4175,4170,-0.12,2026-04-27
"SCRC","SUCRIVOIRE COTE D'IVOIRE",9520,1995,1995,1995,0,2026-04-27
"SDCC","SODE COTE D'IVOIRE",135,7200,7290,7250,0.69,2026-04-27
"SDSC","AFRICA GLOBAL LOGISTICS COTE D'IVOIRE",5390,1800,1840,1800,-2.17,2026-04-27
"SEMC","EVIOSYS PACKAGING SIEM COTE D'IVOIRE",6103,1600,1625,1580,-1.25,2026-04-27
"SGBC","SOCIETE GENERALE COTE D'IVOIRE",3958,34770,34980,34745,-0.67,2026-04-27
"SHEC","VIVO ENERGY COTE D'IVOIRE",5499,1935,1950,1950,0.52,2026-04-27
"SIBC","SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE",8311,7000,7000,6900,-1.43,2026-04-27
"SICC","SICOR COTE D'IVOIRE",21,3985,3985,3985,0,2026-04-27
"SIVC","ERIUM COTE D’IVOIRE",1454,2810,2810,2810,0.36,2026-04-27
"SLBC","SOLIBRA COTE D'IVOIRE",83,38000,38500,38000,1.33,2026-04-27
"SMBC","SMB COTE D'IVOIRE",412,11450,11500,11510,0.52,2026-04-27
"SNTS","SONATEL SENEGAL",6725,28500,29000,28500,0,2026-04-27
"SOGC","SOGB COTE D'IVOIRE",1967,7650,7700,7650,-0.65,2026-04-27
"SPHC","SAPH COTE D'IVOIRE",533,7385,7380,7310,-1.02,2026-04-27
"STAC","SETAO COTE D'IVOIRE",944,2980,2805,2990,-0.33,2026-04-27
"STBC","SITAB COTE D'IVOIRE",4253,20350,19420,20350,-0.73,2026-04-27
"TTLC","TOTALENERGIES MARKETING COTE D'IVOIRE",7688,2700,2750,2705,0.19,2026-04-27
"TTLS","TOTALENERGIES MARKETING SENEGAL",1819,3150,3245,3200,-1.39,2026-04-27
"UNLC","UNILEVER COTE D'IVOIRE",13,63400,63400,63345,7.36,2026-04-27
"UNXC","UNIWAX COTE D'IVOIRE",13763,2085,2095,2090,0.24,2026-04-27
