"Ticker","Name","Volume","Prev_Close","Open","Close","Change_pct","Trade_Date"
"ABJC","SERVAIR ABIDJAN  COTE D'IVOIRE",7513,3155,3055,3215,-0.77,2026-05-01
"BICB","BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN",958,5305,5305,5310,-3.28,2026-05-01
"BICC","BICI COTE D'IVOIRE",411,24850,24850,24850,0,2026-05-01
"BNBC","BERNABE COTE D'IVOIRE",216,1565,1565,1565,0,2026-05-01
"BOAB","BANK OF AFRICA BENIN",2258,8800,9000,8850,-0.62,2026-05-01
"BOABF","BANK OF AFRICA BURKINA FASO",1822,5645,5500,5650,2.73,2026-05-01
"BOAC","BANK OF AFRICA COTE D'IVOIRE",7759,9195,9195,9190,-0.05,2026-05-01
"BOAM","BANK OF AFRICA MALI",3114,4670,4675,4670,0,2026-05-01
"BOAN","BANK OF AFRICA NIGER",8197,3620,3600,3660,3.24,2026-05-01
"BOAS","BANK OF AFRICA SENEGAL",6792,7000,7100,7045,0.64,2026-05-01
"CABC","SICABLE COTE D'IVOIRE",10,3600,3600,3600,-4,2026-05-01
"CBIBF","CORIS BANK INTERNATIONAL BURKINA FASO",166,16100,16300,16100,0.62,2026-05-01
"CFAC","CFAO MOTORS COTE D'IVOIRE",1026,1430,1425,1430,-6.54,2026-05-01
"CIEC","CIE COTE D'IVOIRE",2349,3250,3325,3250,0,2026-05-01
"ECOC","ECOBANK COTE D'IVOIRE",4420,16050,16020,16300,1.56,2026-05-01
"ETIT","Ecobank Transnational Incorporated TOGO",329063,29,30,29,0,2026-05-01
"FTSC","FILTISAC COTE D'IVOIRE",1308,2200,2200,2195,-0.23,2026-05-01
"LNBB","LOTERIE NATIONALE DU BENIN",1016,3900,3850,3850,-1.28,2026-05-01
"NEIC","NEI-CEDA COTE D'IVOIRE",2940,1900,1945,1900,0.53,2026-05-01
"NSBC","NSIA BANQUE COTE D'IVOIRE",271,13900,13880,13900,0,2026-05-01
"NTLC","NESTLE COTE D'IVOIRE",157,12340,12350,12340,-0.16,2026-05-01
"ONTBF","ONATEL BURKINA FASO",221,2795,2800,2795,0,2026-05-01
"ORAC","ORANGE COTE D'IVOIRE",85,15200,14675,15200,3.68,2026-05-01
"ORGT","ORAGROUP TOGO",1373,3280,3260,3250,-0.91,2026-05-01
"PALC","PALM COTE D'IVOIRE",3082,7350,7350,7310,-7.47,2026-05-01
"PRSC","TRACTAFRIC MOTORS COTE D'IVOIRE",349,4610,4750,4600,-3.16,2026-05-01
"SAFC","SAFCA COTE D'IVOIRE",3947,3610,3615,3610,-7.44,2026-05-01
"SCRC","SUCRIVOIRE COTE D'IVOIRE",2822,1995,1995,1990,-0.25,2026-05-01
"SDCC","SODE COTE D'IVOIRE",364,8950,8950,8995,7.47,2026-05-01
"SDSC","AFRICA GLOBAL LOGISTICS COTE D'IVOIRE",4838,1775,1780,1775,0,2026-05-01
"SEMC","EVIOSYS PACKAGING SIEM COTE D'IVOIRE",1047,1600,1600,1600,0,2026-05-01
"SGBC","SOCIETE GENERALE COTE D'IVOIRE",13522,33500,33500,34095,3.32,2026-05-01
"SHEC","VIVO ENERGY COTE D'IVOIRE",964,1950,1950,1970,1.03,2026-05-01
"SIBC","SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE",2229,7100,7075,7080,-0.28,2026-05-01
"SICC","SICOR COTE D'IVOIRE",14,4290,4290,4290,0,2026-05-01
"SIVC","ERIUM COTE D’IVOIRE",1017,2765,2750,2785,0.72,2026-05-01
"SLBC","SOLIBRA COTE D'IVOIRE",107,35540,37000,35540,-3.95,2026-05-01
"SMBC","SMB COTE D'IVOIRE",442,11510,11650,11700,1.65,2026-05-01
"SNTS","SONATEL SENEGAL",5534,28700,28700,28700,0,2026-05-01
"SOGC","SOGB COTE D'IVOIRE",6510,7100,7100,7100,-7.49,2026-05-01
"SPHC","SAPH COTE D'IVOIRE",4069,6800,6800,6800,-7.48,2026-05-01
"STAC","SETAO COTE D'IVOIRE",240,3005,3195,3050,0,2026-05-01
"STBC","SITAB COTE D'IVOIRE",2388,20000,20000,19705,-1.48,2026-05-01
"TTLC","TOTALENERGIES MARKETING COTE D'IVOIRE",1147,2750,2750,2740,-0.36,2026-05-01
"TTLS","TOTALENERGIES MARKETING SENEGAL",1045,3300,3230,3250,1.25,2026-05-01
"UNLC","UNILEVER COTE D'IVOIRE",8,60500,63000,60500,-3.97,2026-05-01
"UNXC","UNIWAX COTE D'IVOIRE",3013,1900,1875,1900,-3.8,2026-05-01
