"Ticker","Name","Volume","Prev_Close","Open","Close","Change_pct","Trade_Date"
"ABJC","SERVAIR ABIDJAN  COTE D'IVOIRE",541,3210,3305,3230,-2.56,2026-04-21
"BICB","BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN",2096,5110,5110,5100,-0.2,2026-04-21
"BICC","BICI COTE D'IVOIRE",197,25000,25000,24850,-0.6,2026-04-21
"BNBC","BERNABE COTE D'IVOIRE",2329,1565,1560,1565,0.32,2026-04-21
"BOAB","BANK OF AFRICA BENIN",3921,8000,8000,8000,0,2026-04-21
"BOABF","BANK OF AFRICA BURKINA FASO",8642,5620,5645,5630,-0.27,2026-04-21
"BOAC","BANK OF AFRICA COTE D'IVOIRE",24306,8500,8600,8495,-2.3,2026-04-21
"BOAM","BANK OF AFRICA MALI",6853,4695,4700,4695,-0.11,2026-04-21
"BOAN","BANK OF AFRICA NIGER",20041,3305,3325,3360,1.66,2026-04-21
"BOAS","BANK OF AFRICA SENEGAL",2017,6750,6750,6790,0.59,2026-04-21
"CABC","SICABLE COTE D'IVOIRE",3945,3515,3515,3515,-7.5,2026-04-21
"CBIBF","CORIS BANK INTERNATIONAL BURKINA FASO",674,16800,16800,16845,0.27,2026-04-21
"CFAC","CFAO MOTORS COTE D'IVOIRE",1160,1590,1550,1590,2.58,2026-04-21
"CIEC","CIE COTE D'IVOIRE",2779,3095,3130,3055,0.16,2026-04-21
"ECOC","ECOBANK COTE D'IVOIRE",1430,15810,15850,15810,0,2026-04-21
"ETIT","Ecobank Transnational Incorporated TOGO",418463,29,29,29,7.41,2026-04-21
"FTSC","FILTISAC COTE D'IVOIRE",1532,2260,2195,2220,1.14,2026-04-21
"LNBB","LOTERIE NATIONALE DU BENIN",4749,3860,3860,3860,0,2026-04-21
"NEIC","NEI-CEDA COTE D'IVOIRE",3243,1380,1380,1380,0,2026-04-21
"NSBC","NSIA BANQUE COTE D'IVOIRE",512,14100,14100,14105,0.04,2026-04-21
"NTLC","NESTLE COTE D'IVOIRE",342,12100,12480,12100,-3.04,2026-04-21
"ONTBF","ONATEL BURKINA FASO",3088,2720,2720,2710,-0.37,2026-04-21
"ORAC","ORANGE COTE D'IVOIRE",644,14900,14905,14905,0.03,2026-04-21
"ORGT","ORAGROUP TOGO",10127,3295,3200,3295,2.81,2026-04-21
"PALC","PALM COTE D'IVOIRE",657,8060,8100,8060,0,2026-04-21
"PRSC","TRACTAFRIC MOTORS COTE D'IVOIRE",1891,4800,4900,4800,-2.04,2026-04-21
"SAFC","SAFCA COTE D'IVOIRE",2954,6255,6265,6200,6.35,2026-04-21
"SCRC","SUCRIVOIRE COTE D'IVOIRE",11062,1995,2025,2010,-1.47,2026-04-21
"SDCC","SODE COTE D'IVOIRE",288,7485,7200,7485,3.96,2026-04-21
"SDSC","AFRICA GLOBAL LOGISTICS COTE D'IVOIRE",23600,1840,1775,1805,1.69,2026-04-21
"SEMC","EVIOSYS PACKAGING SIEM COTE D'IVOIRE",2573,1800,1750,1800,3.15,2026-04-21
"SGBC","SOCIETE GENERALE COTE D'IVOIRE",5091,34940,33500,34940,6.52,2026-04-21
"SHEC","VIVO ENERGY COTE D'IVOIRE",3336,2000,1900,2000,5.54,2026-04-21
"SIBC","SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE",3851,7015,7015,7010,-0.07,2026-04-21
"SICC","SICOR COTE D'IVOIRE",30,4220,4220,4300,1.9,2026-04-21
"SIVC","ERIUM COTE D’IVOIRE",4529,2695,2695,2695,0,2026-04-21
"SLBC","SOLIBRA COTE D'IVOIRE",44,39190,39190,38500,-1.76,2026-04-21
"SMBC","SMB COTE D'IVOIRE",799,11535,11500,11700,1.43,2026-04-21
"SNTS","SONATEL SENEGAL",8984,29000,28400,28500,0.35,2026-04-21
"SOGC","SOGB COTE D'IVOIRE",51080,7700,7700,7680,-0.26,2026-04-21
"SPHC","SAPH COTE D'IVOIRE",776,7395,7395,7355,-0.54,2026-04-21
"STAC","SETAO COTE D'IVOIRE",1670,2895,2895,2850,3.26,2026-04-21
"STBC","SITAB COTE D'IVOIRE",2910,20900,20900,20900,0,2026-04-21
"TTLC","TOTALENERGIES MARKETING COTE D'IVOIRE",10612,2660,2700,2700,-1.82,2026-04-21
"TTLS","TOTALENERGIES MARKETING SENEGAL",463,3150,3250,3200,-1.54,2026-04-21
"UNLC","UNILEVER COTE D'IVOIRE",39,57500,57505,57200,-0.52,2026-04-21
"UNXC","UNIWAX COTE D'IVOIRE",5219,1875,1875,1875,0,2026-04-21
