"Ticker","Name","Volume","Prev_Close","Open","Close","Change_pct","Trade_Date"
"ABJC","SERVAIR ABIDJAN  COTE D'IVOIRE",693,3475,3425,3430,-1.29,2026-04-14
"BICB","BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN",2210,5120,5115,5135,0.29,2026-04-14
"BICC","BICI COTE D'IVOIRE",959,23010,22600,23010,2.27,2026-04-14
"BNBC","BERNABE COTE D'IVOIRE",564,1550,1550,1565,0.97,2026-04-14
"BOAB","BANK OF AFRICA BENIN",3663,7450,7450,7400,-0.67,2026-04-14
"BOABF","BANK OF AFRICA BURKINA FASO",3266,5555,5675,5645,-0.62,2026-04-14
"BOAC","BANK OF AFRICA COTE D'IVOIRE",31865,8500,8505,8500,0,2026-04-14
"BOAM","BANK OF AFRICA MALI",7197,4580,4580,4590,0.22,2026-04-14
"BOAN","BANK OF AFRICA NIGER",5755,2810,2900,2830,-2.25,2026-04-14
"BOAS","BANK OF AFRICA SENEGAL",4732,6730,6730,6750,0.3,2026-04-14
"CABC","SICABLE COTE D'IVOIRE",1334,4040,4045,3995,-4.65,2026-04-14
"CBIBF","CORIS BANK INTERNATIONAL BURKINA FASO",193,15215,15215,15350,0.89,2026-04-14
"CFAC","CFAO MOTORS COTE D'IVOIRE",1814,1630,1640,1600,-1.84,2026-04-14
"CIEC","CIE COTE D'IVOIRE",4873,3080,3105,3135,-0.48,2026-04-14
"ECOC","ECOBANK COTE D'IVOIRE",1959,15620,15615,15620,0.03,2026-04-14
"ETIT","Ecobank Transnational Incorporated TOGO",1179604,32,32,32,-5.88,2026-04-14
"FTSC","FILTISAC COTE D'IVOIRE",5137,2225,2285,2220,-3.27,2026-04-14
"LNBB","LOTERIE NATIONALE DU BENIN",928,3855,3895,3855,0,2026-04-14
"NEIC","NEI-CEDA COTE D'IVOIRE",7228,1400,1400,1400,-0.36,2026-04-14
"NSBC","NSIA BANQUE COTE D'IVOIRE",1372,14175,14050,14100,-0.53,2026-04-14
"NTLC","NESTLE COTE D'IVOIRE",295,12000,12000,12000,0,2026-04-14
"ONTBF","ONATEL BURKINA FASO",2018,2850,2850,2900,1.75,2026-04-14
"ORAC","ORANGE COTE D'IVOIRE",219,15175,15180,15170,2.57,2026-04-14
"ORGT","ORAGROUP TOGO",5036,3460,3500,3435,-3.38,2026-04-14
"PALC","PALM COTE D'IVOIRE",5425,8200,8395,8300,-2.35,2026-04-14
"PRSC","TRACTAFRIC MOTORS COTE D'IVOIRE",570,5000,5100,5000,2.04,2026-04-14
"SAFC","SAFCA COTE D'IVOIRE",6472,6960,7400,6845,-7.44,2026-04-14
"SCRC","SUCRIVOIRE COTE D'IVOIRE",33434,1995,1995,2000,0.25,2026-04-14
"SDCC","SODE COTE D'IVOIRE",414,7150,7150,7150,0,2026-04-14
"SDSC","AFRICA GLOBAL LOGISTICS COTE D'IVOIRE",4456,1885,1890,1890,-0.53,2026-04-14
"SEMC","EVIOSYS PACKAGING SIEM COTE D'IVOIRE",5728,1940,1940,1905,-1.8,2026-04-14
"SGBC","SOCIETE GENERALE COTE D'IVOIRE",751,33900,33900,33505,-1.17,2026-04-14
"SHEC","VIVO ENERGY COTE D'IVOIRE",4748,2010,2180,2050,-4.65,2026-04-14
"SIBC","SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE",10282,7000,7090,7000,0,2026-04-14
"SICC","SICOR COTE D'IVOIRE",279,4200,4200,4225,0.6,2026-04-14
"SIVC","ERIUM COTE D’IVOIRE",3365,3215,3215,3160,-1.71,2026-04-14
"SLBC","SOLIBRA COTE D'IVOIRE",67,38475,38500,38395,3.21,2026-04-14
"SMBC","SMB COTE D'IVOIRE",611,11900,11900,11850,-0.42,2026-04-14
"SNTS","SONATEL SENEGAL",57899,28000,28800,28000,-2.78,2026-04-14
"SOGC","SOGB COTE D'IVOIRE",1110,7900,7935,7850,-0.63,2026-04-14
"SPHC","SAPH COTE D'IVOIRE",901,7320,7400,7395,1.02,2026-04-14
"STAC","SETAO COTE D'IVOIRE",6473,3250,3250,3240,-7.43,2026-04-14
"STBC","SITAB COTE D'IVOIRE",3418,21050,20800,21050,0.24,2026-04-14
"TTLC","TOTALENERGIES MARKETING COTE D'IVOIRE",2957,2840,2795,2840,1.61,2026-04-14
"TTLS","TOTALENERGIES MARKETING SENEGAL",4558,2995,3000,2995,-0.17,2026-04-14
"UNLC","UNILEVER COTE D'IVOIRE",13,61995,61995,61995,0,2026-04-14
"UNXC","UNIWAX COTE D'IVOIRE",8374,1935,1970,1955,-1.01,2026-04-14
