"Ticker","Name","Volume","Prev_Close","Open","Close","Change_pct","Trade_Date"
"ABJC","SERVAIR ABIDJAN  COTE D'IVOIRE",5328,3095,2975,3095,4.03,2026-05-05
"BICB","BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN",937,5155,5260,5250,-1.04,2026-05-05
"BICC","BICI COTE D'IVOIRE",2291,24000,24850,24445,-2.22,2026-05-05
"BNBC","BERNABE COTE D'IVOIRE",1981,1345,1345,1345,-7.24,2026-05-05
"BOAB","BANK OF AFRICA BENIN",7317,9250,8955,9250,3.29,2026-05-05
"BOABF","BANK OF AFRICA BURKINA FASO",3505,5460,5410,5410,-0.92,2026-05-05
"BOAC","BANK OF AFRICA COTE D'IVOIRE",23204,8900,8900,8850,-6.2,2026-05-05
"BOAM","BANK OF AFRICA MALI",4930,4700,4690,4700,0,2026-05-05
"BOAN","BANK OF AFRICA NIGER",5746,3500,3625,3500,-3.58,2026-05-05
"BOAS","BANK OF AFRICA SENEGAL",12057,7100,7100,7225,1.76,2026-05-05
"CABC","SICABLE COTE D'IVOIRE",1684,3505,3650,3500,-4.24,2026-05-05
"CBIBF","CORIS BANK INTERNATIONAL BURKINA FASO",1916,16845,16300,16550,1.85,2026-05-05
"CFAC","CFAO MOTORS COTE D'IVOIRE",10165,1350,1400,1325,-7.34,2026-05-05
"CIEC","CIE COTE D'IVOIRE",13197,3010,3100,3010,-5.49,2026-05-05
"ECOC","ECOBANK COTE D'IVOIRE",747,16100,16055,16000,-0.62,2026-05-05
"ETIT","Ecobank Transnational Incorporated TOGO",985945,29,30,29,-3.33,2026-05-05
"FTSC","FILTISAC COTE D'IVOIRE",1196,2220,2195,2220,1.14,2026-05-05
"LNBB","LOTERIE NATIONALE DU BENIN",1312,3875,3900,3950,1.94,2026-05-05
"NEIC","NEI-CEDA COTE D'IVOIRE",6389,1790,1775,1790,1.7,2026-05-05
"NSBC","NSIA BANQUE COTE D'IVOIRE",2991,14025,15000,14000,-6.29,2026-05-05
"NTLC","NESTLE COTE D'IVOIRE",534,11900,12000,11900,-2.66,2026-05-05
"ONTBF","ONATEL BURKINA FASO",3369,2780,2780,2780,0,2026-05-05
"ORAC","ORANGE COTE D'IVOIRE",431,15000,15470,15000,0,2026-05-05
"ORGT","ORAGROUP TOGO",2601,3215,3215,3215,-7.48,2026-05-05
"PALC","PALM COTE D'IVOIRE",3213,7310,6995,7310,4.43,2026-05-05
"PRSC","TRACTAFRIC MOTORS COTE D'IVOIRE",1971,3940,3940,3940,-7.4,2026-05-05
"SAFC","SAFCA COTE D'IVOIRE",17411,3500,3335,3500,4.79,2026-05-05
"SCRC","SUCRIVOIRE COTE D'IVOIRE",10960,2085,2135,2080,-2.58,2026-05-05
"SDCC","SODE COTE D'IVOIRE",1131,9000,9400,9090,-3.3,2026-05-05
"SDSC","AFRICA GLOBAL LOGISTICS COTE D'IVOIRE",24115,1725,1680,1725,2.68,2026-05-05
"SEMC","EVIOSYS PACKAGING SIEM COTE D'IVOIRE",4820,1500,1485,1500,-3.54,2026-05-05
"SGBC","SOCIETE GENERALE COTE D'IVOIRE",6571,32500,32000,33000,0,2026-05-05
"SHEC","VIVO ENERGY COTE D'IVOIRE",4112,1850,2000,1850,-7.5,2026-05-05
"SIBC","SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE",4772,7000,7000,7100,-2.47,2026-05-05
"SICC","SICOR COTE D'IVOIRE",68,4290,4290,4290,0,2026-05-05
"SIVC","ERIUM COTE D’IVOIRE",2266,2775,2775,2720,-1.98,2026-05-05
"SLBC","SOLIBRA COTE D'IVOIRE",188,37000,37000,37050,-0.94,2026-05-05
"SMBC","SMB COTE D'IVOIRE",1077,11595,11405,11550,-0.39,2026-05-05
"SNTS","SONATEL SENEGAL",11179,29000,29000,28900,-0.34,2026-05-05
"SOGC","SOGB COTE D'IVOIRE",5813,7600,7100,7600,5.56,2026-05-05
"SPHC","SAPH COTE D'IVOIRE",3226,6720,6700,6720,0,2026-05-05
"STAC","SETAO COTE D'IVOIRE",1502,2950,2955,2950,-0.17,2026-05-05
"STBC","SITAB COTE D'IVOIRE",1298,20500,20500,20250,-1.22,2026-05-05
"TTLC","TOTALENERGIES MARKETING COTE D'IVOIRE",6789,2750,2740,2745,-0.18,2026-05-05
"TTLS","TOTALENERGIES MARKETING SENEGAL",1295,3015,3010,3000,-0.33,2026-05-05
"UNLC","UNILEVER COTE D'IVOIRE",6,60500,60500,60500,0,2026-05-05
"UNXC","UNIWAX COTE D'IVOIRE",6859,1880,1880,1885,0.27,2026-05-05
