"Ticker","Name","Volume","Prev_Close","Open","Close","Change_pct","Trade_Date"
"ABJC","SERVAIR ABIDJAN  COTE D'IVOIRE",3262,3655,3405,3655,7.5,2026-04-24
"BICB","BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN",4342,5150,5110,5200,0.97,2026-04-24
"BICC","BICI COTE D'IVOIRE",243,24000,23755,23760,0.02,2026-04-24
"BNBC","BERNABE COTE D'IVOIRE",1304,1600,1500,1600,0,2026-04-24
"BOAB","BANK OF AFRICA BENIN",1677,8130,8200,8210,0.98,2026-04-24
"BOABF","BANK OF AFRICA BURKINA FASO",5585,5400,5400,5400,0,2026-04-24
"BOAC","BANK OF AFRICA COTE D'IVOIRE",2418,8500,8500,8600,1.18,2026-04-24
"BOAM","BANK OF AFRICA MALI",9068,4685,4685,4670,-0.32,2026-04-24
"BOAN","BANK OF AFRICA NIGER",6513,3620,3750,3615,-3.86,2026-04-24
"BOAS","BANK OF AFRICA SENEGAL",2852,6800,6895,6900,1.47,2026-04-24
"CABC","SICABLE COTE D'IVOIRE",5037,3600,3785,3600,0,2026-04-24
"CBIBF","CORIS BANK INTERNATIONAL BURKINA FASO",464,16490,16490,16490,0,2026-04-24
"CFAC","CFAO MOTORS COTE D'IVOIRE",1888,1595,1530,1595,2.9,2026-04-24
"CIEC","CIE COTE D'IVOIRE",7978,3000,3165,3000,-5.21,2026-04-24
"ECOC","ECOBANK COTE D'IVOIRE",863,16300,16005,16300,1.88,2026-04-24
"ETIT","Ecobank Transnational Incorporated TOGO",1018483,29,30,29,-3.33,2026-04-24
"FTSC","FILTISAC COTE D'IVOIRE",3186,2105,2265,2105,-7.06,2026-04-24
"LNBB","LOTERIE NATIONALE DU BENIN",345,3935,3930,3930,-0.13,2026-04-24
"NEIC","NEI-CEDA COTE D'IVOIRE",5717,1580,1580,1580,7.48,2026-04-24
"NSBC","NSIA BANQUE COTE D'IVOIRE",856,13900,13900,13900,0,2026-04-24
"NTLC","NESTLE COTE D'IVOIRE",96,12400,12395,12375,-0.2,2026-04-24
"ONTBF","ONATEL BURKINA FASO",1624,2720,2720,2710,-0.37,2026-04-24
"ORAC","ORANGE COTE D'IVOIRE",157,14900,14950,14900,0,2026-04-24
"ORGT","ORAGROUP TOGO",14550,3260,3185,3295,1.38,2026-04-24
"PALC","PALM COTE D'IVOIRE",2906,7700,8000,7700,-3.63,2026-04-24
"PRSC","TRACTAFRIC MOTORS COTE D'IVOIRE",379,4800,4805,4800,0,2026-04-24
"SAFC","SAFCA COTE D'IVOIRE",15996,4180,4180,4175,-24.16,2026-04-24
"SCRC","SUCRIVOIRE COTE D'IVOIRE",9555,2000,2000,1995,-0.25,2026-04-24
"SDCC","SODE COTE D'IVOIRE",122,7300,7290,7200,-1.37,2026-04-24
"SDSC","AFRICA GLOBAL LOGISTICS COTE D'IVOIRE",21051,1840,1870,1840,-1.6,2026-04-24
"SEMC","EVIOSYS PACKAGING SIEM COTE D'IVOIRE",2952,1600,1600,1600,0.95,2026-04-24
"SGBC","SOCIETE GENERALE COTE D'IVOIRE",11208,34995,34990,34980,0,2026-04-24
"SHEC","VIVO ENERGY COTE D'IVOIRE",3538,1940,1940,1940,0,2026-04-24
"SIBC","SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE",6078,6950,6980,7000,2.87,2026-04-24
"SICC","SICOR COTE D'IVOIRE",34,3985,3985,3985,0,2026-04-24
"SIVC","ERIUM COTE D’IVOIRE",2534,2760,2765,2800,1.45,2026-04-24
"SLBC","SOLIBRA COTE D'IVOIRE",114,38000,39000,37500,-4.96,2026-04-24
"SMBC","SMB COTE D'IVOIRE",538,11535,11500,11450,-0.74,2026-04-24
"SNTS","SONATEL SENEGAL",2367,28500,28500,28500,0,2026-04-24
"SOGC","SOGB COTE D'IVOIRE",1212,7640,7650,7700,0.65,2026-04-24
"SPHC","SAPH COTE D'IVOIRE",1359,7380,7380,7385,0.07,2026-04-24
"STAC","SETAO COTE D'IVOIRE",3519,3000,2935,3000,-4.91,2026-04-24
"STBC","SITAB COTE D'IVOIRE",2205,20900,20900,20500,-1.91,2026-04-24
"TTLC","TOTALENERGIES MARKETING COTE D'IVOIRE",2004,2700,2700,2700,0,2026-04-24
"TTLS","TOTALENERGIES MARKETING SENEGAL",1170,3195,3195,3245,1.56,2026-04-24
"UNLC","UNILEVER COTE D'IVOIRE",12,59000,58000,59000,6.31,2026-04-24
"UNXC","UNIWAX COTE D'IVOIRE",36739,2070,1940,2085,7.47,2026-04-24
