"Ticker","Name","Volume","Prev_Close","Open","Close","Change_pct","Trade_Date"
"ABJC","SERVAIR ABIDJAN  COTE D'IVOIRE",2240,3470,3475,3475,0.14,2026-04-13
"BICB","BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN",1478,5150,5115,5120,-0.58,2026-04-13
"BICC","BICI COTE D'IVOIRE",1872,22500,23600,22500,-4.26,2026-04-13
"BNBC","BERNABE COTE D'IVOIRE",837,1580,1580,1550,-1.9,2026-04-13
"BOAB","BANK OF AFRICA BENIN",2264,7395,7005,7450,-0.67,2026-04-13
"BOABF","BANK OF AFRICA BURKINA FASO",4150,5680,5680,5680,0,2026-04-13
"BOAC","BANK OF AFRICA COTE D'IVOIRE",13208,8485,8500,8500,0.18,2026-04-13
"BOAM","BANK OF AFRICA MALI",4235,4630,4630,4580,-1.08,2026-04-13
"BOAN","BANK OF AFRICA NIGER",8701,2885,2890,2895,2.48,2026-04-13
"BOAS","BANK OF AFRICA SENEGAL",1902,6690,6690,6730,0.6,2026-04-13
"CABC","SICABLE COTE D'IVOIRE",4324,4190,4450,4190,-3.46,2026-04-13
"CBIBF","CORIS BANK INTERNATIONAL BURKINA FASO",907,15215,15200,15215,0.1,2026-04-13
"CFAC","CFAO MOTORS COTE D'IVOIRE",1571,1640,1640,1630,-0.61,2026-04-13
"CIEC","CIE COTE D'IVOIRE",3550,3100,3195,3150,-1.41,2026-04-13
"ECOC","ECOBANK COTE D'IVOIRE",2516,15615,16215,15615,-3.67,2026-04-13
"ETIT","Ecobank Transnational Incorporated TOGO",382722,34,34,34,0,2026-04-13
"FTSC","FILTISAC COTE D'IVOIRE",1511,2305,2305,2295,-0.43,2026-04-13
"LNBB","LOTERIE NATIONALE DU BENIN",365,3895,3895,3855,-1.03,2026-04-13
"NEIC","NEI-CEDA COTE D'IVOIRE",14443,1400,1370,1405,2.55,2026-04-13
"NSBC","NSIA BANQUE COTE D'IVOIRE",816,14200,14190,14175,-0.18,2026-04-13
"NTLC","NESTLE COTE D'IVOIRE",953,12000,12300,12000,-2.28,2026-04-13
"ONTBF","ONATEL BURKINA FASO",1709,2850,2790,2850,2.15,2026-04-13
"ORAC","ORANGE COTE D'IVOIRE",2356,15005,15200,14790,-1.43,2026-04-13
"ORGT","ORAGROUP TOGO",2169,3565,3630,3555,-2.6,2026-04-13
"PALC","PALM COTE D'IVOIRE",577,8600,8500,8500,-1.16,2026-04-13
"PRSC","TRACTAFRIC MOTORS COTE D'IVOIRE",600,4920,5055,4900,-2.97,2026-04-13
"SAFC","SAFCA COTE D'IVOIRE",1507,7400,7430,7395,-0.54,2026-04-13
"SCRC","SUCRIVOIRE COTE D'IVOIRE",27674,2025,2020,1995,-1.48,2026-04-13
"SDCC","SODE COTE D'IVOIRE",318,7250,7250,7150,-1.38,2026-04-13
"SDSC","AFRICA GLOBAL LOGISTICS COTE D'IVOIRE",6363,1895,1870,1900,0.26,2026-04-13
"SEMC","EVIOSYS PACKAGING SIEM COTE D'IVOIRE",1253,1960,1975,1940,0.78,2026-04-13
"SGBC","SOCIETE GENERALE COTE D'IVOIRE",871,34000,34000,33900,-0.29,2026-04-13
"SHEC","VIVO ENERGY COTE D'IVOIRE",4690,2125,2190,2150,-1.83,2026-04-13
"SIBC","SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE",3879,7095,7090,7000,-1.34,2026-04-13
"SICC","SICOR COTE D'IVOIRE",23,4245,3995,4200,5.13,2026-04-13
"SIVC","ERIUM COTE D’IVOIRE",3388,3160,3080,3215,5.07,2026-04-13
"SLBC","SOLIBRA COTE D'IVOIRE",398,37200,38000,37200,0,2026-04-13
"SMBC","SMB COTE D'IVOIRE",1645,12000,11600,11900,2.59,2026-04-13
"SNTS","SONATEL SENEGAL",2934,28800,28800,28800,0,2026-04-13
"SOGC","SOGB COTE D'IVOIRE",1033,7970,7995,7900,-0.88,2026-04-13
"SPHC","SAPH COTE D'IVOIRE",3767,7320,7445,7320,-1.68,2026-04-13
"STAC","SETAO COTE D'IVOIRE",3950,3450,3450,3500,1.45,2026-04-13
"STBC","SITAB COTE D'IVOIRE",2137,20800,21375,21000,-1.06,2026-04-13
"TTLC","TOTALENERGIES MARKETING COTE D'IVOIRE",1469,2800,2800,2795,-0.18,2026-04-13
"TTLS","TOTALENERGIES MARKETING SENEGAL",1147,3060,3155,3000,-4.91,2026-04-13
"UNLC","UNILEVER COTE D'IVOIRE",21,61995,58000,61995,6.89,2026-04-13
"UNXC","UNIWAX COTE D'IVOIRE",4591,1960,1980,1975,0.77,2026-04-13
