"Ticker","Name","Volume","Prev_Close","Open","Close","Change_pct","Trade_Date"
"ABJC","SERVAIR ABIDJAN  COTE D'IVOIRE",9521,3000,3100,2975,-7.47,2026-05-04
"BICB","BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN",2205,5310,5305,5305,-0.09,2026-05-04
"BICC","BICI COTE D'IVOIRE",1716,25000,25000,25000,0.6,2026-05-04
"BNBC","BERNABE COTE D'IVOIRE",1092,1450,1450,1450,-7.35,2026-05-04
"BOAB","BANK OF AFRICA BENIN",3898,8955,8850,8955,1.19,2026-05-04
"BOABF","BANK OF AFRICA BURKINA FASO",28603,5450,5400,5460,-3.36,2026-05-04
"BOAC","BANK OF AFRICA COTE D'IVOIRE",9437,9400,9190,9435,2.67,2026-05-04
"BOAM","BANK OF AFRICA MALI",14009,4670,4670,4700,0.64,2026-05-04
"BOAN","BANK OF AFRICA NIGER",9029,3615,3660,3630,-0.82,2026-05-04
"BOAS","BANK OF AFRICA SENEGAL",7204,7045,7050,7100,0.78,2026-05-04
"CABC","SICABLE COTE D'IVOIRE",2445,3700,3600,3655,1.53,2026-05-04
"CBIBF","CORIS BANK INTERNATIONAL BURKINA FASO",4206,16100,16300,16250,0.93,2026-05-04
"CFAC","CFAO MOTORS COTE D'IVOIRE",4899,1430,1430,1430,0,2026-05-04
"CIEC","CIE COTE D'IVOIRE",24243,3185,3185,3185,-2,2026-05-04
"ECOC","ECOBANK COTE D'IVOIRE",594,16300,16300,16100,-1.23,2026-05-04
"ETIT","Ecobank Transnational Incorporated TOGO",537422,30,29,30,3.45,2026-05-04
"FTSC","FILTISAC COTE D'IVOIRE",1589,2195,2195,2195,0,2026-05-04
"LNBB","LOTERIE NATIONALE DU BENIN",2084,3850,3900,3875,0.65,2026-05-04
"NEIC","NEI-CEDA COTE D'IVOIRE",8572,1760,1880,1760,-7.37,2026-05-04
"NSBC","NSIA BANQUE COTE D'IVOIRE",3817,14920,14920,14940,7.48,2026-05-04
"NTLC","NESTLE COTE D'IVOIRE",2991,12340,12340,12225,-0.93,2026-05-04
"ONTBF","ONATEL BURKINA FASO",2105,2780,2795,2780,-0.54,2026-05-04
"ORAC","ORANGE COTE D'IVOIRE",1192,15200,15250,15000,-1.32,2026-05-04
"ORGT","ORAGROUP TOGO",9422,3450,3295,3475,6.92,2026-05-04
"PALC","PALM COTE D'IVOIRE",10015,7000,6765,7000,-4.24,2026-05-04
"PRSC","TRACTAFRIC MOTORS COTE D'IVOIRE",1149,4255,4255,4255,-7.5,2026-05-04
"SAFC","SAFCA COTE D'IVOIRE",5644,3400,3500,3340,-7.48,2026-05-04
"SCRC","SUCRIVOIRE COTE D'IVOIRE",58348,2105,1845,2135,7.29,2026-05-04
"SDCC","SODE COTE D'IVOIRE",2465,9400,9665,9400,4.5,2026-05-04
"SDSC","AFRICA GLOBAL LOGISTICS COTE D'IVOIRE",16001,1700,1775,1680,-5.35,2026-05-04
"SEMC","EVIOSYS PACKAGING SIEM COTE D'IVOIRE",4780,1560,1600,1555,-2.81,2026-05-04
"SGBC","SOCIETE GENERALE COTE D'IVOIRE",7837,33000,32995,33000,-3.21,2026-05-04
"SHEC","VIVO ENERGY COTE D'IVOIRE",3463,1970,2000,2000,1.52,2026-05-04
"SIBC","SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE",10040,7280,7100,7280,2.82,2026-05-04
"SICC","SICOR COTE D'IVOIRE",100,4290,4280,4290,0,2026-05-04
"SIVC","ERIUM COTE D’IVOIRE",3324,2785,2780,2775,-0.36,2026-05-04
"SLBC","SOLIBRA COTE D'IVOIRE",146,37000,36000,37400,5.23,2026-05-04
"SMBC","SMB COTE D'IVOIRE",533,11700,11700,11595,-0.9,2026-05-04
"SNTS","SONATEL SENEGAL",3627,29200,28700,29000,1.05,2026-05-04
"SOGC","SOGB COTE D'IVOIRE",3253,7100,7000,7200,1.41,2026-05-04
"SPHC","SAPH COTE D'IVOIRE",6318,6720,6290,6720,-1.18,2026-05-04
"STAC","SETAO COTE D'IVOIRE",1208,2900,3030,2955,-3.11,2026-05-04
"STBC","SITAB COTE D'IVOIRE",9846,20500,20000,20500,4.03,2026-05-04
"TTLC","TOTALENERGIES MARKETING COTE D'IVOIRE",10095,2740,2700,2750,0.36,2026-05-04
"TTLS","TOTALENERGIES MARKETING SENEGAL",2945,3010,3250,3010,-7.38,2026-05-04
"UNLC","UNILEVER COTE D'IVOIRE",22,60500,62995,60500,0,2026-05-04
"UNXC","UNIWAX COTE D'IVOIRE",9963,1860,1895,1880,-1.05,2026-05-04
