"Ticker","Name","Volume","Prev_Close","Open","Close","Change_pct","Trade_Date"
"ABJC","SERVAIR ABIDJAN  COTE D'IVOIRE",485,3485,3420,3470,1.46,2026-04-10
"BICB","BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN",1467,5180,5150,5150,-0.58,2026-04-10
"BICC","BICI COTE D'IVOIRE",324,23500,23500,23500,0,2026-04-10
"BNBC","BERNABE COTE D'IVOIRE",945,1580,1585,1580,0,2026-04-10
"BOAB","BANK OF AFRICA BENIN",6460,7540,7540,7500,-0.53,2026-04-10
"BOABF","BANK OF AFRICA BURKINA FASO",2812,5685,5680,5680,-0.09,2026-04-10
"BOAC","BANK OF AFRICA COTE D'IVOIRE",7493,8480,8485,8485,0.06,2026-04-10
"BOAM","BANK OF AFRICA MALI",1144,4645,4640,4630,-0.32,2026-04-10
"BOAN","BANK OF AFRICA NIGER",7462,2800,2800,2825,0.89,2026-04-10
"BOAS","BANK OF AFRICA SENEGAL",3243,6700,6700,6690,-0.15,2026-04-10
"CABC","SICABLE COTE D'IVOIRE",1834,4345,4090,4340,5.98,2026-04-10
"CBIBF","CORIS BANK INTERNATIONAL BURKINA FASO",630,15060,15100,15200,0.93,2026-04-10
"CFAC","CFAO MOTORS COTE D'IVOIRE",491,1650,1695,1640,-3.24,2026-04-10
"CIEC","CIE COTE D'IVOIRE",1468,3230,3200,3195,-1.54,2026-04-10
"ECOC","ECOBANK COTE D'IVOIRE",776,16200,16210,16210,0.06,2026-04-10
"ETIT","Ecobank Transnational Incorporated TOGO",756768,34,34,34,0,2026-04-10
"FTSC","FILTISAC COTE D'IVOIRE",3205,2305,2305,2305,0,2026-04-10
"LNBB","LOTERIE NATIONALE DU BENIN",167,3855,3855,3895,1.04,2026-04-10
"NEIC","NEI-CEDA COTE D'IVOIRE",741,1365,1365,1370,0.37,2026-04-10
"NSBC","NSIA BANQUE COTE D'IVOIRE",185,14245,14240,14200,-0.32,2026-04-10
"NTLC","NESTLE COTE D'IVOIRE",256,12300,12300,12280,-0.16,2026-04-10
"ONTBF","ONATEL BURKINA FASO",10415,2800,2800,2790,-0.36,2026-04-10
"ORAC","ORANGE COTE D'IVOIRE",299,15100,15100,15005,-0.63,2026-04-10
"ORGT","ORAGROUP TOGO",2473,3650,3650,3650,0,2026-04-10
"PALC","PALM COTE D'IVOIRE",379,8700,8700,8600,-1.15,2026-04-10
"PRSC","TRACTAFRIC MOTORS COTE D'IVOIRE",287,5100,5100,5050,2.02,2026-04-10
"SAFC","SAFCA COTE D'IVOIRE",3679,7445,7000,7435,6.21,2026-04-10
"SCRC","SUCRIVOIRE COTE D'IVOIRE",37087,2025,2200,2025,-4.71,2026-04-10
"SDCC","SODE COTE D'IVOIRE",173,7200,7300,7250,0.69,2026-04-10
"SDSC","AFRICA GLOBAL LOGISTICS COTE D'IVOIRE",3470,1900,1920,1895,-0.26,2026-04-10
"SEMC","EVIOSYS PACKAGING SIEM COTE D'IVOIRE",4277,1920,1910,1925,0.26,2026-04-10
"SGBC","SOCIETE GENERALE COTE D'IVOIRE",791,33980,34000,34000,0.06,2026-04-10
"SHEC","VIVO ENERGY COTE D'IVOIRE",7963,2190,2185,2190,0.23,2026-04-10
"SIBC","SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE",2791,7100,7100,7095,-0.07,2026-04-10
"SICC","SICOR COTE D'IVOIRE",162,3995,4250,3995,0,2026-04-10
"SIVC","ERIUM COTE D’IVOIRE",14544,3010,3005,3060,1.83,2026-04-10
"SLBC","SOLIBRA COTE D'IVOIRE",193,37500,37200,37200,-0.8,2026-04-10
"SMBC","SMB COTE D'IVOIRE",551,11750,11700,11600,-1.28,2026-04-10
"SNTS","SONATEL SENEGAL",49298,28700,28800,28800,0.02,2026-04-10
"SOGC","SOGB COTE D'IVOIRE",386,7950,7940,7970,0.25,2026-04-10
"SPHC","SAPH COTE D'IVOIRE",2222,7305,7305,7445,2.48,2026-04-10
"STAC","SETAO COTE D'IVOIRE",4868,3480,3600,3450,-4.3,2026-04-10
"STBC","SITAB COTE D'IVOIRE",881,21225,21225,21225,0,2026-04-10
"TTLC","TOTALENERGIES MARKETING COTE D'IVOIRE",58126,2800,2650,2800,3.7,2026-04-10
"TTLS","TOTALENERGIES MARKETING SENEGAL",996,3155,3250,3155,-2.92,2026-04-10
"UNLC","UNILEVER COTE D'IVOIRE",7,58000,58000,58000,0,2026-04-10
"UNXC","UNIWAX COTE D'IVOIRE",6066,1960,1950,1960,0.77,2026-04-10
