"Ticker","Name","Volume","Prev_Close","Open","Close","Change_pct","Trade_Date"
"ABJC","SERVAIR ABIDJAN  COTE D'IVOIRE",1106,3430,3430,3430,0,2026-04-15
"BICB","BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN",4091,5135,5135,5150,0.29,2026-04-15
"BICC","BICI COTE D'IVOIRE",554,23010,23100,23250,1.04,2026-04-15
"BNBC","BERNABE COTE D'IVOIRE",1111,1565,1565,1570,0.32,2026-04-15
"BOAB","BANK OF AFRICA BENIN",13974,7500,7400,7650,3.38,2026-04-15
"BOABF","BANK OF AFRICA BURKINA FASO",2763,5600,5635,5630,-0.27,2026-04-15
"BOAC","BANK OF AFRICA COTE D'IVOIRE",10078,8500,8500,8400,-1.18,2026-04-15
"BOAM","BANK OF AFRICA MALI",4106,4590,4595,4590,0,2026-04-15
"BOAN","BANK OF AFRICA NIGER",3810,2830,2820,2830,0,2026-04-15
"BOAS","BANK OF AFRICA SENEGAL",9884,6740,6750,6750,0,2026-04-15
"CABC","SICABLE COTE D'IVOIRE",3588,3850,3700,3895,-2.5,2026-04-15
"CBIBF","CORIS BANK INTERNATIONAL BURKINA FASO",611,15500,15360,15700,2.28,2026-04-15
"CFAC","CFAO MOTORS COTE D'IVOIRE",4917,1485,1600,1500,-6.25,2026-04-15
"CIEC","CIE COTE D'IVOIRE",1757,3100,3135,3140,0.16,2026-04-15
"ECOC","ECOBANK COTE D'IVOIRE",1649,15700,15700,15700,0.51,2026-04-15
"ETIT","Ecobank Transnational Incorporated TOGO",1169560,30,30,30,-6.25,2026-04-15
"FTSC","FILTISAC COTE D'IVOIRE",8359,2220,2220,2260,1.8,2026-04-15
"LNBB","LOTERIE NATIONALE DU BENIN",2124,3855,3895,3855,0,2026-04-15
"NEIC","NEI-CEDA COTE D'IVOIRE",1560,1400,1390,1385,-1.07,2026-04-15
"NSBC","NSIA BANQUE COTE D'IVOIRE",665,14100,14060,14170,0.5,2026-04-15
"NTLC","NESTLE COTE D'IVOIRE",391,11800,11800,11995,-0.04,2026-04-15
"ONTBF","ONATEL BURKINA FASO",903,2800,2845,2795,-3.62,2026-04-15
"ORAC","ORANGE COTE D'IVOIRE",1062,15170,15170,15165,-0.03,2026-04-15
"ORGT","ORAGROUP TOGO",3384,3435,3360,3435,0,2026-04-15
"PALC","PALM COTE D'IVOIRE",937,8035,8195,8035,-3.19,2026-04-15
"PRSC","TRACTAFRIC MOTORS COTE D'IVOIRE",435,5000,5000,4995,-0.1,2026-04-15
"SAFC","SAFCA COTE D'IVOIRE",1330,6340,6340,6335,-7.45,2026-04-15
"SCRC","SUCRIVOIRE COTE D'IVOIRE",9718,2000,2000,1995,-0.25,2026-04-15
"SDCC","SODE COTE D'IVOIRE",716,7050,6620,7150,0,2026-04-15
"SDSC","AFRICA GLOBAL LOGISTICS COTE D'IVOIRE",5634,1850,1870,1875,-0.79,2026-04-15
"SEMC","EVIOSYS PACKAGING SIEM COTE D'IVOIRE",6172,1890,1900,1890,-0.79,2026-04-15
"SGBC","SOCIETE GENERALE COTE D'IVOIRE",1349,32600,33500,33000,-1.51,2026-04-15
"SHEC","VIVO ENERGY COTE D'IVOIRE",6324,2005,2050,2000,-2.44,2026-04-15
"SIBC","SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE",5060,7000,7000,7000,0,2026-04-15
"SICC","SICOR COTE D'IVOIRE",135,4225,4220,4225,0,2026-04-15
"SIVC","ERIUM COTE D’IVOIRE",6359,2925,3160,2925,-7.44,2026-04-15
"SLBC","SOLIBRA COTE D'IVOIRE",563,39000,38395,39000,1.58,2026-04-15
"SMBC","SMB COTE D'IVOIRE",659,11500,11900,11650,-1.69,2026-04-15
"SNTS","SONATEL SENEGAL",19792,28005,28495,28500,1.79,2026-04-15
"SOGC","SOGB COTE D'IVOIRE",1635,7850,7890,7920,0.89,2026-04-15
"SPHC","SAPH COTE D'IVOIRE",36970,7100,7100,7100,-3.99,2026-04-15
"STAC","SETAO COTE D'IVOIRE",1572,3000,3000,3000,-7.41,2026-04-15
"STBC","SITAB COTE D'IVOIRE",1077,20900,21050,20800,-1.19,2026-04-15
"TTLC","TOTALENERGIES MARKETING COTE D'IVOIRE",912,2780,2840,2795,-1.58,2026-04-15
"TTLS","TOTALENERGIES MARKETING SENEGAL",3048,3200,3000,3215,7.35,2026-04-15
"UNLC","UNILEVER COTE D'IVOIRE",27,61995,57505,62000,0.01,2026-04-15
"UNXC","UNIWAX COTE D'IVOIRE",14246,1860,1950,1855,-5.12,2026-04-15
