"Ticker","Name","Volume","Prev_Close","Open","Close","Change_pct","Trade_Date"
"ABJC","SERVAIR ABIDJAN  COTE D'IVOIRE",3968,3305,3210,3305,2.32,2026-04-22
"BICB","BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN",2042,5100,5150,5110,0.2,2026-04-22
"BICC","BICI COTE D'IVOIRE",400,23705,24850,23705,-4.61,2026-04-22
"BNBC","BERNABE COTE D'IVOIRE",1415,1640,1640,1630,4.15,2026-04-22
"BOAB","BANK OF AFRICA BENIN",17454,8200,8050,8200,2.5,2026-04-22
"BOABF","BANK OF AFRICA BURKINA FASO",16869,5390,5200,5420,-3.73,2026-04-22
"BOAC","BANK OF AFRICA COTE D'IVOIRE",22152,8495,8500,8500,0.06,2026-04-22
"BOAM","BANK OF AFRICA MALI",2892,4695,4690,4675,-0.43,2026-04-22
"BOAN","BANK OF AFRICA NIGER",32917,3500,3365,3500,4.17,2026-04-22
"BOAS","BANK OF AFRICA SENEGAL",9256,6790,6800,6735,-0.81,2026-04-22
"CABC","SICABLE COTE D'IVOIRE",5021,3350,3260,3350,-4.69,2026-04-22
"CBIBF","CORIS BANK INTERNATIONAL BURKINA FASO",892,16000,16825,15680,-6.92,2026-04-22
"CFAC","CFAO MOTORS COTE D'IVOIRE",1489,1600,1650,1600,0.63,2026-04-22
"CIEC","CIE COTE D'IVOIRE",4151,3055,3055,3100,1.47,2026-04-22
"ECOC","ECOBANK COTE D'IVOIRE",722,16200,15810,16000,1.2,2026-04-22
"ETIT","Ecobank Transnational Incorporated TOGO",1328064,30,29,30,3.45,2026-04-22
"FTSC","FILTISAC COTE D'IVOIRE",2875,2210,2220,2220,0,2026-04-22
"LNBB","LOTERIE NATIONALE DU BENIN",412,3860,3850,3860,0,2026-04-22
"NEIC","NEI-CEDA COTE D'IVOIRE",3890,1380,1380,1370,-0.72,2026-04-22
"NSBC","NSIA BANQUE COTE D'IVOIRE",15479,13900,14050,13900,-1.45,2026-04-22
"NTLC","NESTLE COTE D'IVOIRE",288,12400,12500,12400,2.48,2026-04-22
"ONTBF","ONATEL BURKINA FASO",2008,2710,2705,2720,0.37,2026-04-22
"ORAC","ORANGE COTE D'IVOIRE",1010,14905,14905,15000,0.64,2026-04-22
"ORGT","ORAGROUP TOGO",10818,3205,3295,3205,-2.73,2026-04-22
"PALC","PALM COTE D'IVOIRE",1696,8060,8100,8060,0,2026-04-22
"PRSC","TRACTAFRIC MOTORS COTE D'IVOIRE",183,4800,4895,4895,1.98,2026-04-22
"SAFC","SAFCA COTE D'IVOIRE",11072,5750,6195,5750,-7.26,2026-04-22
"SCRC","SUCRIVOIRE COTE D'IVOIRE",9409,2010,2010,2035,1.24,2026-04-22
"SDCC","SODE COTE D'IVOIRE",163,7485,7480,7400,-1.14,2026-04-22
"SDSC","AFRICA GLOBAL LOGISTICS COTE D'IVOIRE",4775,1810,1850,1810,0.28,2026-04-22
"SEMC","EVIOSYS PACKAGING SIEM COTE D'IVOIRE",10030,1675,1795,1665,-7.5,2026-04-22
"SGBC","SOCIETE GENERALE COTE D'IVOIRE",8089,35000,34940,35000,0.17,2026-04-22
"SHEC","VIVO ENERGY COTE D'IVOIRE",13395,1945,1900,1945,-2.75,2026-04-22
"SIBC","SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE",15323,7000,6600,6900,-1.57,2026-04-22
"SICC","SICOR COTE D'IVOIRE",31,4300,4295,4295,-0.12,2026-04-22
"SIVC","ERIUM COTE D’IVOIRE",1187,2695,2700,2700,0.19,2026-04-22
"SLBC","SOLIBRA COTE D'IVOIRE",162,38500,38500,38000,-1.3,2026-04-22
"SMBC","SMB COTE D'IVOIRE",549,11700,11535,11535,-1.41,2026-04-22
"SNTS","SONATEL SENEGAL",14307,28500,28500,28500,0,2026-04-22
"SOGC","SOGB COTE D'IVOIRE",2505,7680,7700,7700,0.26,2026-04-22
"SPHC","SAPH COTE D'IVOIRE",2632,7355,7410,7355,0,2026-04-22
"STAC","SETAO COTE D'IVOIRE",4421,2990,2850,2990,4.91,2026-04-22
"STBC","SITAB COTE D'IVOIRE",664,20900,20900,20900,0,2026-04-22
"TTLC","TOTALENERGIES MARKETING COTE D'IVOIRE",3469,2640,2700,2650,-1.85,2026-04-22
"TTLS","TOTALENERGIES MARKETING SENEGAL",612,3005,3100,3005,-6.09,2026-04-22
"UNLC","UNILEVER COTE D'IVOIRE",23,55500,57200,55500,-2.97,2026-04-22
"UNXC","UNIWAX COTE D'IVOIRE",1735,1950,1980,1950,4,2026-04-22
