"Ticker","Name","Volume","Prev_Close","Open","Close","Change_pct","Trade_Date"
"ABJC","SERVAIR ABIDJAN  COTE D'IVOIRE",553,2860,2855,2875,0.52,2026-05-22
"BICB","BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN",1236,5225,5225,5225,0,2026-05-22
"BICC","BICI COTE D'IVOIRE",594,27000,27000,27000,0,2026-05-22
"BNBC","BERNABE COTE D'IVOIRE",1423,1525,1550,1500,-1.64,2026-05-22
"BOAB","BANK OF AFRICA BENIN",2638,8835,9000,8950,-4.99,2026-05-22
"BOABF","BANK OF AFRICA BURKINA FASO",11708,5415,5415,5440,0.46,2026-05-22
"BOAC","BANK OF AFRICA COTE D'IVOIRE",4515,8880,8850,8870,-0.11,2026-05-22
"BOAM","BANK OF AFRICA MALI",3684,4940,4960,4990,1.01,2026-05-22
"BOAN","BANK OF AFRICA NIGER",6204,3700,3700,3730,0.81,2026-05-22
"BOAS","BANK OF AFRICA SENEGAL",4065,8000,8000,7990,-0.12,2026-05-22
"CABC","SICABLE COTE D'IVOIRE",423,3585,3500,3585,2.43,2026-05-22
"CBIBF","CORIS BANK INTERNATIONAL BURKINA FASO",736,20700,20650,20700,0,2026-05-22
"CFAC","CFAO MOTORS COTE D'IVOIRE",3776,1485,1485,1485,0,2026-05-22
"CIEC","CIE COTE D'IVOIRE",28967,4040,4040,4040,7.45,2026-05-22
"ECOC","ECOBANK COTE D'IVOIRE",1593,16300,14500,16300,0,2026-05-22
"ETIT","Ecobank Transnational Incorporated TOGO",683100,30,29,30,3.45,2026-05-22
"FTSC","FILTISAC COTE D'IVOIRE",579,2300,2300,2280,-0.87,2026-05-22
"LNBB","LOTERIE NATIONALE DU BENIN",155,3860,3860,3860,0,2026-05-22
"NEIC","NEI-CEDA COTE D'IVOIRE",4147,1995,1900,1990,2.84,2026-05-22
"NSBC","NSIA BANQUE COTE D'IVOIRE",2934,18100,18965,18000,-5.09,2026-05-22
"NTLC","NESTLE COTE D'IVOIRE",748,13000,12900,13005,4.12,2026-05-22
"ONTBF","ONATEL BURKINA FASO",666,2855,2880,2850,-0.18,2026-05-22
"ORAC","ORANGE COTE D'IVOIRE",5614,15550,15650,15550,-0.64,2026-05-22
"ORGT","ORAGROUP TOGO",5237,2730,2590,2700,4.25,2026-05-22
"PALC","PALM COTE D'IVOIRE",423,7700,7700,7680,-0.26,2026-05-22
"PRSC","TRACTAFRIC MOTORS COTE D'IVOIRE",1657,4200,4105,4210,7.4,2026-05-22
"SAFC","SAFCA COTE D'IVOIRE",5455,3650,3710,3700,-2.37,2026-05-22
"SCRC","SUCRIVOIRE COTE D'IVOIRE",44608,2645,2645,2645,7.3,2026-05-22
"SDCC","SODE COTE D'IVOIRE",654,11100,11200,11095,-0.05,2026-05-22
"SDSC","AFRICA GLOBAL LOGISTICS COTE D'IVOIRE",2957,1730,1700,1700,0.59,2026-05-22
"SEMC","EVIOSYS PACKAGING SIEM COTE D'IVOIRE",1777,1495,1490,1485,-0.67,2026-05-22
"SGBC","SOCIETE GENERALE COTE D'IVOIRE",5555,36200,36000,36000,-0.55,2026-05-22
"SHEC","VIVO ENERGY COTE D'IVOIRE",1980,1900,1890,1935,1.84,2026-05-22
"SIBC","SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE",2428,8195,8000,8160,4.02,2026-05-22
"SICC","SICOR COTE D'IVOIRE",10,4400,4400,4400,-4.56,2026-05-22
"SIVC","ERIUM COTE D’IVOIRE",735,2855,2855,2855,0,2026-05-22
"SLBC","SOLIBRA COTE D'IVOIRE",458,37945,37945,37945,0,2026-05-22
"SMBC","SMB COTE D'IVOIRE",2880,12895,12895,12895,0,2026-05-22
"SNTS","SONATEL SENEGAL",2514,28500,28800,28500,-1.38,2026-05-22
"SOGC","SOGB COTE D'IVOIRE",4296,7300,7500,7390,-2.76,2026-05-22
"SPHC","SAPH COTE D'IVOIRE",66106,6945,6895,6945,0.73,2026-05-22
"STAC","SETAO COTE D'IVOIRE",2501,2900,2840,2900,2.11,2026-05-22
"STBC","SITAB COTE D'IVOIRE",610,21250,21250,21275,0.12,2026-05-22
"TTLC","TOTALENERGIES MARKETING COTE D'IVOIRE",705,2880,2895,2875,-0.17,2026-05-22
"TTLS","TOTALENERGIES MARKETING SENEGAL",2247,3240,3300,3195,-1.39,2026-05-22
"UNLC","UNILEVER COTE D'IVOIRE",9,59900,59900,59000,-1.5,2026-05-22
"UNXC","UNIWAX COTE D'IVOIRE",6592,1760,1760,1795,1.99,2026-05-22
