"Ticker","Name","Volume","Prev_Close","Open","Close","Change_pct","Trade_Date"
"ABJC","SERVAIR ABIDJAN  COTE D'IVOIRE",7803,2955,2995,2985,0.34,2026-05-11
"BICB","BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN",1725,5225,5165,5170,-1.05,2026-05-11
"BICC","BICI COTE D'IVOIRE",562,26000,26095,26200,0.77,2026-05-11
"BNBC","BERNABE COTE D'IVOIRE",895,1390,1345,1395,7.31,2026-05-11
"BOAB","BANK OF AFRICA BENIN",17215,9400,9400,9405,0.05,2026-05-11
"BOABF","BANK OF AFRICA BURKINA FASO",3605,5400,5400,5410,0.19,2026-05-11
"BOAC","BANK OF AFRICA COTE D'IVOIRE",9311,8695,8700,8650,-0.63,2026-05-11
"BOAM","BANK OF AFRICA MALI",4465,4700,4700,4685,-0.32,2026-05-11
"BOAN","BANK OF AFRICA NIGER",10497,3485,3480,3450,-1,2026-05-11
"BOAS","BANK OF AFRICA SENEGAL",9390,7390,7400,7450,0.81,2026-05-11
"CABC","SICABLE COTE D'IVOIRE",2467,3500,3500,3500,0,2026-05-11
"CBIBF","CORIS BANK INTERNATIONAL BURKINA FASO",1765,16800,16800,16800,0,2026-05-11
"CFAC","CFAO MOTORS COTE D'IVOIRE",1550,1385,1385,1380,-0.36,2026-05-11
"CIEC","CIE COTE D'IVOIRE",2648,3200,3330,3200,-3.9,2026-05-11
"ECOC","ECOBANK COTE D'IVOIRE",2038,16300,17000,16200,-3.57,2026-05-11
"ETIT","Ecobank Transnational Incorporated TOGO",1133788,30,28,30,0,2026-05-11
"FTSC","FILTISAC COTE D'IVOIRE",3063,2220,2240,2200,-0.9,2026-05-11
"LNBB","LOTERIE NATIONALE DU BENIN",978,3865,3845,3865,0.52,2026-05-11
"NEIC","NEI-CEDA COTE D'IVOIRE",5054,1850,1745,1850,6.02,2026-05-11
"NSBC","NSIA BANQUE COTE D'IVOIRE",3440,14010,13990,13850,-1.14,2026-05-11
"NTLC","NESTLE COTE D'IVOIRE",1755,11180,11700,11150,-4.29,2026-05-11
"ONTBF","ONATEL BURKINA FASO",2161,2700,2760,2700,-2.17,2026-05-11
"ORAC","ORANGE COTE D'IVOIRE",899,14920,14920,15100,1.21,2026-05-11
"ORGT","ORAGROUP TOGO",21596,2700,2740,2740,7.45,2026-05-11
"PALC","PALM COTE D'IVOIRE",3623,7800,7800,7800,0,2026-05-11
"PRSC","TRACTAFRIC MOTORS COTE D'IVOIRE",1415,3695,3690,3650,-1.22,2026-05-11
"SAFC","SAFCA COTE D'IVOIRE",3178,3485,3500,3485,-0.43,2026-05-11
"SCRC","SUCRIVOIRE COTE D'IVOIRE",12393,2260,2425,2260,-6.03,2026-05-11
"SDCC","SODE COTE D'IVOIRE",527,9095,9095,9095,0,2026-05-11
"SDSC","AFRICA GLOBAL LOGISTICS COTE D'IVOIRE",14252,1710,1750,1700,-2.58,2026-05-11
"SEMC","EVIOSYS PACKAGING SIEM COTE D'IVOIRE",4314,1530,1530,1505,-1.31,2026-05-11
"SGBC","SOCIETE GENERALE COTE D'IVOIRE",950,34500,34750,34800,0.87,2026-05-11
"SHEC","VIVO ENERGY COTE D'IVOIRE",10403,2000,1950,2000,2.83,2026-05-11
"SIBC","SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE",5233,7095,7100,7140,0.63,2026-05-11
"SICC","SICOR COTE D'IVOIRE",40,4400,4280,4400,2.56,2026-05-11
"SIVC","ERIUM COTE D’IVOIRE",8733,2845,2800,2855,0.35,2026-05-11
"SLBC","SOLIBRA COTE D'IVOIRE",72,37500,38000,37900,1.07,2026-05-11
"SMBC","SMB COTE D'IVOIRE",1456,11995,11995,12100,0.88,2026-05-11
"SNTS","SONATEL SENEGAL",16538,28900,28900,29000,0.35,2026-05-11
"SOGC","SOGB COTE D'IVOIRE",5804,7395,7390,7395,0.07,2026-05-11
"SPHC","SAPH COTE D'IVOIRE",5376,7000,7050,7000,-0.71,2026-05-11
"STAC","SETAO COTE D'IVOIRE",5731,2510,2695,2515,-5.45,2026-05-11
"STBC","SITAB COTE D'IVOIRE",3888,21500,21500,21290,-0.98,2026-05-11
"TTLC","TOTALENERGIES MARKETING COTE D'IVOIRE",9699,2850,2750,2850,3.64,2026-05-11
"TTLS","TOTALENERGIES MARKETING SENEGAL",3481,2950,2910,2900,-1.69,2026-05-11
"UNLC","UNILEVER COTE D'IVOIRE",9,60200,56000,59900,6.96,2026-05-11
"UNXC","UNIWAX COTE D'IVOIRE",10131,1845,1805,1835,1.66,2026-05-11
