"Ticker","Name","Volume","Prev_Close","Open","Close","Change_pct","Trade_Date"
"ABJC","SERVAIR ABIDJAN  COTE D'IVOIRE",1466,3500,3500,3500,-7.41,2026-04-28
"BICB","BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN",1098,5205,5215,5270,1.25,2026-04-28
"BICC","BICI COTE D'IVOIRE",442,24400,24400,24800,1.64,2026-04-28
"BNBC","BERNABE COTE D'IVOIRE",2298,1590,1585,1585,-0.31,2026-04-28
"BOAB","BANK OF AFRICA BENIN",1975,8500,8500,8600,1.18,2026-04-28
"BOABF","BANK OF AFRICA BURKINA FASO",6825,5455,5450,5450,0,2026-04-28
"BOAC","BANK OF AFRICA COTE D'IVOIRE",7090,8965,8800,8965,2.46,2026-04-28
"BOAM","BANK OF AFRICA MALI",8964,4670,4670,4670,0,2026-04-28
"BOAN","BANK OF AFRICA NIGER",8854,3450,3300,3500,2.49,2026-04-28
"BOAS","BANK OF AFRICA SENEGAL",1475,6950,6950,6940,-0.14,2026-04-28
"CABC","SICABLE COTE D'IVOIRE",1849,3705,3705,3700,0,2026-04-28
"CBIBF","CORIS BANK INTERNATIONAL BURKINA FASO",872,15600,16200,15600,-3.7,2026-04-28
"CFAC","CFAO MOTORS COTE D'IVOIRE",4479,1585,1600,1580,-0.63,2026-04-28
"CIEC","CIE COTE D'IVOIRE",4326,3190,3210,3180,6,2026-04-28
"ECOC","ECOBANK COTE D'IVOIRE",402,16020,16050,16300,1.75,2026-04-28
"ETIT","Ecobank Transnational Incorporated TOGO",606172,29,29,29,0,2026-04-28
"FTSC","FILTISAC COTE D'IVOIRE",883,2250,2245,2240,-0.44,2026-04-28
"LNBB","LOTERIE NATIONALE DU BENIN",3858,3990,3850,3975,1.92,2026-04-28
"NEIC","NEI-CEDA COTE D'IVOIRE",34843,1795,1815,1820,7.37,2026-04-28
"NSBC","NSIA BANQUE COTE D'IVOIRE",1139,13890,14000,13995,0.76,2026-04-28
"NTLC","NESTLE COTE D'IVOIRE",440,11500,12300,11500,-7.07,2026-04-28
"ONTBF","ONATEL BURKINA FASO",1150,2710,2620,2700,3.45,2026-04-28
"ORAC","ORANGE COTE D'IVOIRE",753,15250,14650,15250,4.1,2026-04-28
"ORGT","ORAGROUP TOGO",9341,3295,3230,3295,-1.35,2026-04-28
"PALC","PALM COTE D'IVOIRE",1251,7900,8000,7800,-1.27,2026-04-28
"PRSC","TRACTAFRIC MOTORS COTE D'IVOIRE",385,4800,4800,4755,-0.94,2026-04-28
"SAFC","SAFCA COTE D'IVOIRE",5765,4170,4170,4170,0,2026-04-28
"SCRC","SUCRIVOIRE COTE D'IVOIRE",3635,1995,1995,1990,-0.25,2026-04-28
"SDCC","SODE COTE D'IVOIRE",755,7790,7790,7790,7.45,2026-04-28
"SDSC","AFRICA GLOBAL LOGISTICS COTE D'IVOIRE",1550,1800,1800,1790,-0.56,2026-04-28
"SEMC","EVIOSYS PACKAGING SIEM COTE D'IVOIRE",4721,1580,1585,1575,-0.32,2026-04-28
"SGBC","SOCIETE GENERALE COTE D'IVOIRE",7050,34490,34800,34490,-0.73,2026-04-28
"SHEC","VIVO ENERGY COTE D'IVOIRE",3984,1950,1950,1950,0,2026-04-28
"SIBC","SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE",15994,6900,7000,7000,1.45,2026-04-28
"SICC","SICOR COTE D'IVOIRE",10,3985,3995,3995,0.25,2026-04-28
"SIVC","ERIUM COTE D’IVOIRE",1136,2760,2775,2760,-1.78,2026-04-28
"SLBC","SOLIBRA COTE D'IVOIRE",188,37000,38000,37000,-2.63,2026-04-28
"SMBC","SMB COTE D'IVOIRE",364,11510,11520,11650,1.22,2026-04-28
"SNTS","SONATEL SENEGAL",6428,28500,28500,28400,-0.35,2026-04-28
"SOGC","SOGB COTE D'IVOIRE",1485,7700,7650,7700,0.65,2026-04-28
"SPHC","SAPH COTE D'IVOIRE",1038,7385,7310,7385,1.03,2026-04-28
"STAC","SETAO COTE D'IVOIRE",903,2990,3000,3000,0.33,2026-04-28
"STBC","SITAB COTE D'IVOIRE",2471,19710,20395,20000,-1.72,2026-04-28
"TTLC","TOTALENERGIES MARKETING COTE D'IVOIRE",2813,2705,2700,2700,-0.18,2026-04-28
"TTLS","TOTALENERGIES MARKETING SENEGAL",884,3180,3300,3180,-0.62,2026-04-28
"UNLC","UNILEVER COTE D'IVOIRE",6,59000,63345,59000,-6.86,2026-04-28
"UNXC","UNIWAX COTE D'IVOIRE",1787,2000,1950,1975,-5.5,2026-04-28
