"Ticker","Name","Volume","Prev_Close","Open","Close","Change_pct","Trade_Date"
"ABJC","SERVAIR ABIDJAN  COTE D'IVOIRE",1988,3000,3015,2975,-1.49,2026-05-08
"BICB","BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN",3826,5225,5160,5225,2.05,2026-05-08
"BICC","BICI COTE D'IVOIRE",1041,26000,25300,26000,3.17,2026-05-08
"BNBC","BERNABE COTE D'IVOIRE",8921,1275,1300,1300,-2.62,2026-05-08
"BOAB","BANK OF AFRICA BENIN",7963,9300,9300,9400,1.08,2026-05-08
"BOABF","BANK OF AFRICA BURKINA FASO",1414,5400,5405,5400,0,2026-05-08
"BOAC","BANK OF AFRICA COTE D'IVOIRE",8623,8650,8650,8705,0.64,2026-05-08
"BOAM","BANK OF AFRICA MALI",3183,4690,4690,4700,0.21,2026-05-08
"BOAN","BANK OF AFRICA NIGER",10423,3500,3500,3485,-0.43,2026-05-08
"BOAS","BANK OF AFRICA SENEGAL",4296,7265,7385,7390,1.72,2026-05-08
"CABC","SICABLE COTE D'IVOIRE",1096,3500,3400,3500,2.94,2026-05-08
"CBIBF","CORIS BANK INTERNATIONAL BURKINA FASO",1024,16600,16700,16800,1.2,2026-05-08
"CFAC","CFAO MOTORS COTE D'IVOIRE",2459,1400,1400,1385,-1.07,2026-05-08
"CIEC","CIE COTE D'IVOIRE",6545,3345,3345,3330,-0.45,2026-05-08
"ECOC","ECOBANK COTE D'IVOIRE",900,16800,17520,16800,3.07,2026-05-08
"ETIT","Ecobank Transnational Incorporated TOGO",535809,30,29,30,0,2026-05-08
"FTSC","FILTISAC COTE D'IVOIRE",952,2250,2200,2220,0.91,2026-05-08
"LNBB","LOTERIE NATIONALE DU BENIN",5802,3860,3860,3845,-2.53,2026-05-08
"NEIC","NEI-CEDA COTE D'IVOIRE",5933,1745,1740,1745,0,2026-05-08
"NSBC","NSIA BANQUE COTE D'IVOIRE",1131,14000,14000,14010,0.07,2026-05-08
"NTLC","NESTLE COTE D'IVOIRE",902,11650,11700,11650,-0.43,2026-05-08
"ONTBF","ONATEL BURKINA FASO",622,2845,2710,2760,-0.54,2026-05-08
"ORAC","ORANGE COTE D'IVOIRE",350,15200,14920,14920,0.13,2026-05-08
"ORGT","ORAGROUP TOGO",17676,2550,2550,2550,-7.44,2026-05-08
"PALC","PALM COTE D'IVOIRE",1399,7900,7900,7800,-1.27,2026-05-08
"PRSC","TRACTAFRIC MOTORS COTE D'IVOIRE",920,3695,3695,3695,0,2026-05-08
"SAFC","SAFCA COTE D'IVOIRE",7960,3500,3500,3500,0,2026-05-08
"SCRC","SUCRIVOIRE COTE D'IVOIRE",16410,2405,2300,2405,7.37,2026-05-08
"SDCC","SODE COTE D'IVOIRE",582,9095,8900,9095,2.19,2026-05-08
"SDSC","AFRICA GLOBAL LOGISTICS COTE D'IVOIRE",109506,1745,1800,1745,-3.06,2026-05-08
"SEMC","EVIOSYS PACKAGING SIEM COTE D'IVOIRE",4479,1555,1525,1525,0,2026-05-08
"SGBC","SOCIETE GENERALE COTE D'IVOIRE",1961,34500,33800,34500,2.07,2026-05-08
"SHEC","VIVO ENERGY COTE D'IVOIRE",4166,1940,1895,1945,2.64,2026-05-08
"SIBC","SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE",4043,7150,7150,7095,-0.77,2026-05-08
"SICC","SICOR COTE D'IVOIRE",100,4300,4290,4290,-0.23,2026-05-08
"SIVC","ERIUM COTE D’IVOIRE",2079,2850,2845,2845,-0.18,2026-05-08
"SLBC","SOLIBRA COTE D'IVOIRE",118,37500,37500,37500,0,2026-05-08
"SMBC","SMB COTE D'IVOIRE",1319,12200,11905,11995,0.8,2026-05-08
"SNTS","SONATEL SENEGAL",3362,28900,28900,28900,0,2026-05-08
"SOGC","SOGB COTE D'IVOIRE",1124,7400,7400,7390,-0.14,2026-05-08
"SPHC","SAPH COTE D'IVOIRE",539,7100,7100,7050,-0.7,2026-05-08
"STAC","SETAO COTE D'IVOIRE",3203,2655,2855,2660,-6.5,2026-05-08
"STBC","SITAB COTE D'IVOIRE",3796,21300,21000,21500,2.38,2026-05-08
"TTLC","TOTALENERGIES MARKETING COTE D'IVOIRE",4953,2720,2705,2750,1.1,2026-05-08
"TTLS","TOTALENERGIES MARKETING SENEGAL",2197,3000,2950,2950,-1.67,2026-05-08
"UNLC","UNILEVER COTE D'IVOIRE",14,56000,60500,56000,-5.08,2026-05-08
"UNXC","UNIWAX COTE D'IVOIRE",8086,1815,1805,1805,-0.55,2026-05-08
