"Ticker","Name","Volume","Prev_Close","Open","Close","Change_pct","Trade_Date"
"ABJC","SERVAIR ABIDJAN  COTE D'IVOIRE",736,2845,2845,2855,0.35,2026-05-20
"BICB","BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN",1522,5150,5200,5195,-0.48,2026-05-20
"BICC","BICI COTE D'IVOIRE",241,27000,26450,27000,2.08,2026-05-20
"BNBC","BERNABE COTE D'IVOIRE",1219,1550,1500,1550,3.33,2026-05-20
"BOAB","BANK OF AFRICA BENIN",2386,9400,9420,9405,0.05,2026-05-20
"BOABF","BANK OF AFRICA BURKINA FASO",2248,5400,5405,5415,0.28,2026-05-20
"BOAC","BANK OF AFRICA COTE D'IVOIRE",8942,8800,8800,8800,0.06,2026-05-20
"BOAM","BANK OF AFRICA MALI",5088,4900,4850,4900,0,2026-05-20
"BOAN","BANK OF AFRICA NIGER",29157,3695,3480,3690,6.34,2026-05-20
"BOAS","BANK OF AFRICA SENEGAL",3024,7900,7900,8050,1.9,2026-05-20
"CABC","SICABLE COTE D'IVOIRE",953,3405,3400,3405,0.15,2026-05-20
"CBIBF","CORIS BANK INTERNATIONAL BURKINA FASO",851,20500,20500,20500,0,2026-05-20
"CFAC","CFAO MOTORS COTE D'IVOIRE",1858,1455,1495,1480,-1.33,2026-05-20
"CIEC","CIE COTE D'IVOIRE",3627,3445,3370,3500,4.32,2026-05-20
"ECOC","ECOBANK COTE D'IVOIRE",704,16300,16300,16300,0,2026-05-20
"ETIT","Ecobank Transnational Incorporated TOGO",345110,30,30,30,0,2026-05-20
"FTSC","FILTISAC COTE D'IVOIRE",1327,2300,2300,2300,2.22,2026-05-20
"LNBB","LOTERIE NATIONALE DU BENIN",3805,3980,3990,3990,0,2026-05-20
"NEIC","NEI-CEDA COTE D'IVOIRE",1805,1900,1940,1900,-2.06,2026-05-20
"NSBC","NSIA BANQUE COTE D'IVOIRE",3567,17800,16805,17900,7.19,2026-05-20
"NTLC","NESTLE COTE D'IVOIRE",1679,11800,11800,11850,0.42,2026-05-20
"ONTBF","ONATEL BURKINA FASO",1142,2855,2855,2855,0,2026-05-20
"ORAC","ORANGE COTE D'IVOIRE",2842,15505,15660,15505,-0.93,2026-05-20
"ORGT","ORAGROUP TOGO",5890,2500,2500,2500,0,2026-05-20
"PALC","PALM COTE D'IVOIRE",1527,7690,7690,7690,0,2026-05-20
"PRSC","TRACTAFRIC MOTORS COTE D'IVOIRE",874,3695,3695,3695,0,2026-05-20
"SAFC","SAFCA COTE D'IVOIRE",1357,3800,3985,3800,-4.76,2026-05-20
"SCRC","SUCRIVOIRE COTE D'IVOIRE",11737,2310,2200,2295,4.08,2026-05-20
"SDCC","SODE COTE D'IVOIRE",1510,11000,11150,11200,1.82,2026-05-20
"SDSC","AFRICA GLOBAL LOGISTICS COTE D'IVOIRE",12802,1650,1700,1650,-3.51,2026-05-20
"SEMC","EVIOSYS PACKAGING SIEM COTE D'IVOIRE",2367,1495,1470,1480,1.72,2026-05-20
"SGBC","SOCIETE GENERALE COTE D'IVOIRE",3006,35995,36300,36200,0.57,2026-05-20
"SHEC","VIVO ENERGY COTE D'IVOIRE",6176,1945,1975,1945,-1.52,2026-05-20
"SIBC","SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE",3141,7700,7520,7795,3.86,2026-05-20
"SICC","SICOR COTE D'IVOIRE",78,4650,4615,4620,3.82,2026-05-20
"SIVC","ERIUM COTE D’IVOIRE",5040,2850,2850,2860,0.35,2026-05-20
"SLBC","SOLIBRA COTE D'IVOIRE",1771,37505,37800,37800,0.79,2026-05-20
"SMBC","SMB COTE D'IVOIRE",466,12500,12100,12500,-0.79,2026-05-20
"SNTS","SONATEL SENEGAL",9571,28850,28850,28850,0,2026-05-20
"SOGC","SOGB COTE D'IVOIRE",35633,7200,7400,7200,-3.36,2026-05-20
"SPHC","SAPH COTE D'IVOIRE",1215,6850,6845,6850,0,2026-05-20
"STAC","SETAO COTE D'IVOIRE",4251,2980,3000,2980,5.67,2026-05-20
"STBC","SITAB COTE D'IVOIRE",2873,21200,21200,21000,-0.94,2026-05-20
"TTLC","TOTALENERGIES MARKETING COTE D'IVOIRE",2103,2900,2900,2900,0,2026-05-20
"TTLS","TOTALENERGIES MARKETING SENEGAL",1777,3020,3025,3050,0.99,2026-05-20
"UNLC","UNILEVER COTE D'IVOIRE",4,58000,58000,58000,3.39,2026-05-20
"UNXC","UNIWAX COTE D'IVOIRE",7402,1795,1800,1760,-1.95,2026-05-20
