"Ticker","Name","Volume","Prev_Close","Open","Close","Change_pct","Trade_Date"
"ABJC","SERVAIR ABIDJAN  COTE D'IVOIRE",617,3430,3400,3450,0.58,2026-04-16
"BICB","BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN",1100,5150,5140,5110,-0.78,2026-04-16
"BICC","BICI COTE D'IVOIRE",1721,23500,23500,23500,1.08,2026-04-16
"BNBC","BERNABE COTE D'IVOIRE",839,1560,1570,1565,-0.32,2026-04-16
"BOAB","BANK OF AFRICA BENIN",25844,7900,7800,7985,4.38,2026-04-16
"BOABF","BANK OF AFRICA BURKINA FASO",8558,5630,5630,5630,0,2026-04-16
"BOAC","BANK OF AFRICA COTE D'IVOIRE",28381,8400,8400,8400,0,2026-04-16
"BOAM","BANK OF AFRICA MALI",9730,4590,4590,4650,1.31,2026-04-16
"BOAN","BANK OF AFRICA NIGER",45775,3000,2830,3000,6.01,2026-04-16
"BOAS","BANK OF AFRICA SENEGAL",7225,6750,6750,6750,0,2026-04-16
"CABC","SICABLE COTE D'IVOIRE",851,3895,3895,3880,-0.39,2026-04-16
"CBIBF","CORIS BANK INTERNATIONAL BURKINA FASO",3222,16200,15985,16500,5.1,2026-04-16
"CFAC","CFAO MOTORS COTE D'IVOIRE",2386,1550,1500,1550,3.33,2026-04-16
"CIEC","CIE COTE D'IVOIRE",775,3140,3140,3100,-1.27,2026-04-16
"ECOC","ECOBANK COTE D'IVOIRE",2257,15710,15625,15710,0.06,2026-04-16
"ETIT","Ecobank Transnational Incorporated TOGO",2353342,28,28,28,-6.67,2026-04-16
"FTSC","FILTISAC COTE D'IVOIRE",1797,2180,2220,2180,-3.54,2026-04-16
"LNBB","LOTERIE NATIONALE DU BENIN",1421,3860,3860,3860,0.13,2026-04-16
"NEIC","NEI-CEDA COTE D'IVOIRE",4334,1380,1385,1380,-0.36,2026-04-16
"NSBC","NSIA BANQUE COTE D'IVOIRE",461,14170,14170,14195,0.18,2026-04-16
"NTLC","NESTLE COTE D'IVOIRE",343,11700,12000,11800,-1.63,2026-04-16
"ONTBF","ONATEL BURKINA FASO",1587,2720,2800,2720,-2.68,2026-04-16
"ORAC","ORANGE COTE D'IVOIRE",1688,15165,15175,15000,-1.09,2026-04-16
"ORGT","ORAGROUP TOGO",1631,3435,3435,3410,-0.73,2026-04-16
"PALC","PALM COTE D'IVOIRE",1624,8035,8035,8100,0.81,2026-04-16
"PRSC","TRACTAFRIC MOTORS COTE D'IVOIRE",1152,4995,5000,4995,0,2026-04-16
"SAFC","SAFCA COTE D'IVOIRE",3908,5860,5860,5860,-7.5,2026-04-16
"SCRC","SUCRIVOIRE COTE D'IVOIRE",13991,2050,1995,2050,2.76,2026-04-16
"SDCC","SODE COTE D'IVOIRE",402,7135,6625,7140,-0.14,2026-04-16
"SDSC","AFRICA GLOBAL LOGISTICS COTE D'IVOIRE",6019,1820,1875,1840,-1.87,2026-04-16
"SEMC","EVIOSYS PACKAGING SIEM COTE D'IVOIRE",4944,1750,1810,1750,-7.41,2026-04-16
"SGBC","SOCIETE GENERALE COTE D'IVOIRE",1087,33000,33000,33000,0,2026-04-16
"SHEC","VIVO ENERGY COTE D'IVOIRE",10063,1990,1995,1990,-0.5,2026-04-16
"SIBC","SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE",6562,7000,7010,7000,0,2026-04-16
"SICC","SICOR COTE D'IVOIRE",306,3930,3930,3930,-6.98,2026-04-16
"SIVC","ERIUM COTE D’IVOIRE",9421,2800,2800,2800,-4.27,2026-04-16
"SLBC","SOLIBRA COTE D'IVOIRE",49,39985,39985,39985,2.53,2026-04-16
"SMBC","SMB COTE D'IVOIRE",560,11650,11800,11535,-0.99,2026-04-16
"SNTS","SONATEL SENEGAL",6225,27500,28800,27500,-3.51,2026-04-16
"SOGC","SOGB COTE D'IVOIRE",1212,7920,7920,7920,0,2026-04-16
"SPHC","SAPH COTE D'IVOIRE",1834,6975,7110,6975,-1.76,2026-04-16
"STAC","SETAO COTE D'IVOIRE",10435,2910,2775,2950,-1.67,2026-04-16
"STBC","SITAB COTE D'IVOIRE",1863,20050,20800,20050,-3.61,2026-04-16
"TTLC","TOTALENERGIES MARKETING COTE D'IVOIRE",12503,2795,2800,2795,0,2026-04-16
"TTLS","TOTALENERGIES MARKETING SENEGAL",1624,3280,3215,3280,2.02,2026-04-16
"UNLC","UNILEVER COTE D'IVOIRE",21,57500,65000,57500,-7.26,2026-04-16
"UNXC","UNIWAX COTE D'IVOIRE",6871,1875,1900,1870,0.81,2026-04-16
