"Ticker","Name","Volume","Prev_Close","Open","Close","Change_pct","Trade_Date"
"ABJC","SERVAIR ABIDJAN  COTE D'IVOIRE",2046,2845,2845,2845,0,2026-05-19
"BICB","BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN",5652,5220,5005,5220,2.25,2026-05-19
"BICC","BICI COTE D'IVOIRE",319,26450,26400,26450,0,2026-05-19
"BNBC","BERNABE COTE D'IVOIRE",1073,1500,1575,1500,-2.91,2026-05-19
"BOAB","BANK OF AFRICA BENIN",4953,9400,9400,9400,0,2026-05-19
"BOABF","BANK OF AFRICA BURKINA FASO",3227,5400,5400,5400,0,2026-05-19
"BOAC","BANK OF AFRICA COTE D'IVOIRE",3685,8655,8655,8795,1.62,2026-05-19
"BOAM","BANK OF AFRICA MALI",4871,4900,4690,4900,4.48,2026-05-19
"BOAN","BANK OF AFRICA NIGER",4031,3490,3490,3470,-0.57,2026-05-19
"BOAS","BANK OF AFRICA SENEGAL",5012,7900,7700,7900,2.6,2026-05-19
"CABC","SICABLE COTE D'IVOIRE",799,3400,3470,3400,-2.02,2026-05-19
"CBIBF","CORIS BANK INTERNATIONAL BURKINA FASO",1358,20500,20500,20500,0,2026-05-19
"CFAC","CFAO MOTORS COTE D'IVOIRE",1615,1500,1500,1500,0,2026-05-19
"CIEC","CIE COTE D'IVOIRE",3344,3400,3330,3355,0.75,2026-05-19
"ECOC","ECOBANK COTE D'IVOIRE",1234,16300,16000,16300,0,2026-05-19
"ETIT","Ecobank Transnational Incorporated TOGO",212957,30,29,30,0,2026-05-19
"FTSC","FILTISAC COTE D'IVOIRE",1776,2250,2350,2250,-4.66,2026-05-19
"LNBB","LOTERIE NATIONALE DU BENIN",1236,3990,3900,3990,2.57,2026-05-19
"NEIC","NEI-CEDA COTE D'IVOIRE",5138,1940,1940,1940,0,2026-05-19
"NSBC","NSIA BANQUE COTE D'IVOIRE",2469,16700,16820,16700,6.71,2026-05-19
"NTLC","NESTLE COTE D'IVOIRE",1952,11950,11950,11800,-1.26,2026-05-19
"ONTBF","ONATEL BURKINA FASO",3048,2890,2840,2855,1.96,2026-05-19
"ORAC","ORANGE COTE D'IVOIRE",3056,15600,15700,15650,0.32,2026-05-19
"ORGT","ORAGROUP TOGO",9392,2495,2495,2500,0.2,2026-05-19
"PALC","PALM COTE D'IVOIRE",953,7700,7700,7690,-0.13,2026-05-19
"PRSC","TRACTAFRIC MOTORS COTE D'IVOIRE",705,3695,3695,3695,2.07,2026-05-19
"SAFC","SAFCA COTE D'IVOIRE",1077,4000,4050,3990,-0.25,2026-05-19
"SCRC","SUCRIVOIRE COTE D'IVOIRE",22769,2240,2350,2205,-7.35,2026-05-19
"SDCC","SODE COTE D'IVOIRE",863,11100,10640,11000,3.38,2026-05-19
"SDSC","AFRICA GLOBAL LOGISTICS COTE D'IVOIRE",2698,1695,1695,1710,0.88,2026-05-19
"SEMC","EVIOSYS PACKAGING SIEM COTE D'IVOIRE",3076,1475,1500,1455,-3,2026-05-19
"SGBC","SOCIETE GENERALE COTE D'IVOIRE",1685,36000,36000,35995,-0.01,2026-05-19
"SHEC","VIVO ENERGY COTE D'IVOIRE",3708,1975,1975,1975,0,2026-05-19
"SIBC","SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE",3375,7615,7495,7505,0.07,2026-05-19
"SICC","SICOR COTE D'IVOIRE",121,4380,4400,4450,1.6,2026-05-19
"SIVC","ERIUM COTE D’IVOIRE",1778,2845,2800,2850,0.18,2026-05-19
"SLBC","SOLIBRA COTE D'IVOIRE",121,37900,37895,37505,-1.04,2026-05-19
"SMBC","SMB COTE D'IVOIRE",516,12800,12800,12600,-1.56,2026-05-19
"SNTS","SONATEL SENEGAL",6591,28800,28850,28850,0.17,2026-05-19
"SOGC","SOGB COTE D'IVOIRE",1833,7390,7110,7450,0.81,2026-05-19
"SPHC","SAPH COTE D'IVOIRE",3548,6890,6890,6850,-0.58,2026-05-19
"STAC","SETAO COTE D'IVOIRE",166,2820,2680,2820,5.22,2026-05-19
"STBC","SITAB COTE D'IVOIRE",2294,21000,21300,21200,0.95,2026-05-19
"TTLC","TOTALENERGIES MARKETING COTE D'IVOIRE",3221,2905,2905,2900,-0.17,2026-05-19
"TTLS","TOTALENERGIES MARKETING SENEGAL",1621,2990,3005,3020,1,2026-05-19
"UNLC","UNILEVER COTE D'IVOIRE",10,56000,56100,56100,0.18,2026-05-19
"UNXC","UNIWAX COTE D'IVOIRE",4795,1830,1830,1795,-1.91,2026-05-19
